code	smiles	source
m-SAM1	FC(F)(F)c1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM2	Cc1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM3	Oc1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM4	Fc1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM5	Sc1ccc(cc1)-c1ccc(Cl)cc1	Langmuir_17_1_2001
m-SAM6	Sc1ccc(cc1)-c1ccc(Br)cc1	Langmuir_17_1_2001
m-SAM7	Sc1ccc(cc1)-c1ccc(I)cc1	Langmuir_17_1_2001
m-SAM8	CCOC(=O)c1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM9	CC(O)c1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM10	COCCOc1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM11	Sc1ccc(cc1)-c1ccc(cc1)N(=O)=O	Langmuir_17_1_2001
m-SAM12	CN(C)c1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM13	CSc1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM14	CC(=O)c1ccc(cc1)-c1ccc(S)cc1	Langmuir_17_1_2001
m-SAM15	Sc1ccc(cc1)-c1ccncc1	Langmuir_17_1_2001
m-SAM16	C(CS)N	SAMs
m-SAM17	CCO[Si](CCCS)(OCC)OCC	SAMs
m-SAM18	SC1=C2N=CNC2=NC=N1	SAMs
m-SAM19	SC1=C2NC=NC2=NC=N1	taut
m-SAM20	C(C(C(=O)O)N)S	SAMs
m-SAM21	C1=CN=CC=C1S	SAMs
m-SAM22	C1=CC(=CC=C1C(F)(F)F)S	SAMs
m-SAM23	SC1=CC=C(C=C1)C1=CC=NC=C1	SAMs
m-SAM24	C1=CC(=CC=C1C2=CC=C(C=C2)S)O	SAMs
m-SAM25	Sc1ccc2ccc3cccc4ccc1c2c34	SAMs
m-SAM26	Nc1ccc2nc(S)sc2c1	paper
m-SAM27	C1=CC(=CC=C1F)S	fluoro
m-SAM28	C1=CC(=CC=C1S)Cl	halo
m-SAM29	C1=CC(=CC=C1S)Br	halo
m-SAM30	C1=CC(=CC=C1CS)F	halo
m-SAM31	C1=CC(=CC=C1CS)Cl	halo
m-SAM32	C1=CC(=CC=C1CS)Br	halo
m-SAM33	SC1=NC2=CC=CC=C2O1	elec
m-SAM34	SC1=NC2=CC=CC=C2S1	elec
m-SAM35	SC1=NC2CCCCC2N1	elec
m-SAM36	SCc1ccc(cc1)CS	Au_cas_105-09-9_spid_59434.out
m-SAM37	SCCCCC#N	Au_cas_1053658-37-9_spid_10770547.out
m-SAM38	C[C@H](CS)O	Au_cas_1068-47-9_spid_92620.out
m-SAM39	CCCS	Au_cas_107-03-9_spid_7560.out
m-SAM40	SCCC(=O)O	Au_cas_107-96-0_spid_6267.out
m-SAM41	Sc1ccc(cc1)C(=O)O	Au_cas_1074-36-8_spid_86425.out
